key,bin,v_ego,model,read,y_none,x_none,d_left,d_right,set
255412-0005888,5-10,5.625737056221891,cinque,5,6.9546875,30.27625,0.436874999999999,-0.280312499999999,carla_p6
255412-0005888,5-10,5.625737056221891,lebowski,0,-8.3096875,24.594375,0.180625,-0.734687499999999,carla_p6
255412-0005888,5-10,5.625737056221891,lebowski,1,-7.699375,26.65625,0.10437500000000001,-0.660624999999999,carla_p6
255412-0005888,5-10,5.625737056221891,lebowski,5,0.6475585937499999,21.855,0.7788867187499999,-0.056855468750000006,carla_p6
251311-0007136,5-10,9.55167528184416,cinque,0,-0.58796875,27.008125,0.6258117675781251,-2.1671875,carla_p6
251311-0007136,5-10,9.55167528184416,cinque,1,-3.685859375,29.873125,0.9129687500000001,0.10367187500000001,carla_p6
251311-0007136,5-10,9.55167528184416,cinque,5,9.5571875,29.464375,0.08218749999999901,-0.254999999999999,carla_p6
251311-0007136,5-10,9.55167528184416,lebowski,0,-0.53068359375,25.6725,1.42376953125,-1.74853515625,carla_p6
251311-0007136,5-10,9.55167528184416,lebowski,1,-2.877890625,36.0725,1.0631640625,-0.648671874999999,carla_p6
251311-0007136,5-10,9.55167528184416,lebowski,5,7.9209375,29.3525,0.575624999999999,0.09000000000000001,carla_p6
250910-0006566,5-10,8.356974482240435,cinque,0,-11.3653125,29.416249999999998,0.29000000000000004,0.004687499999999001,carla_p6
250910-0006566,5-10,8.356974482240435,cinque,1,-8.5640625,29.855,0.6559375000000001,-0.43531250000000005,carla_p6
250910-0006566,5-10,8.356974482240435,cinque,5,-0.32751953125,25.72,0.143525390625,-0.99404296875,carla_p6
250910-0006566,5-10,8.356974482240435,lebowski,0,-8.608125,29.35875,1.579687499999999,-0.5687500000000011,carla_p6
250910-0006566,5-10,8.356974482240435,lebowski,1,-5.8834375,23.050625,0.5903125,-0.40374999999999905,carla_p6
250910-0006566,5-10,8.356974482240435,lebowski,5,-0.09169189453125,21.68375,1.24325439453125,-1.19049560546875,carla_p6
2436711-0002953,5-10,5.8781795771961765,cinque,0,-0.287666015625,20.596875,1.370556640625,-1.3033105468750001,carla_p6
2436711-0002953,5-10,5.8781795771961765,cinque,1,-0.3296484375,20.478125,1.17291015625,-1.178203125,carla_p6
2436711-0002953,5-10,5.8781795771961765,cinque,5,1.284921875,25.07625,1.834609375,-1.4363623046875,carla_p6
2436711-0002953,5-10,5.8781795771961765,lebowski,0,-0.16874511718750002,20.4825,1.0368896484375,-0.5522705078125001,carla_p6
2436711-0002953,5-10,5.8781795771961765,lebowski,1,-0.1776708984375,20.871875,1.1214599609375,-0.6829931640625,carla_p6
2436711-0002953,5-10,5.8781795771961765,lebowski,5,-3.303125,22.368125,0.17421875,-0.4290625,carla_p6
2592812-0002717,5-10,6.502369770442225,cinque,0,0.024506835937500002,5.3228125,1.1530322265625,-0.1799267578125,carla_p6
2592812-0002717,5-10,6.502369770442225,cinque,1,-0.004477386474609,0.248544921875,0.707387542724609,-0.10274673461914001,carla_p6
2592812-0002717,5-10,6.502369770442225,cinque,5,0.01630126953125,1.4310156250000001,0.605593261718749,-0.069954833984374,carla_p6
2592812-0002717,5-10,6.502369770442225,lebowski,0,-0.000811328887939,4.7184375,0.822803516387939,-0.21510663986206002,carla_p6
2592812-0002717,5-10,6.502369770442225,lebowski,1,-0.021849365234375,2.850078125,0.6711267089843751,-0.156119384765625,carla_p6
2592812-0002717,5-10,6.502369770442225,lebowski,5,0.005563201904296,0.64916015625,0.605667266845703,-0.399322967529296,carla_p6
2481611-0000269,5-10,5.400072820652904,cinque,0,3.609375,11.1709375,0.016249999999999,-0.283984375,carla_p6
