arm,route,status,DS,RC,n_collisions,duration_game,t_col,col_type,pinned_s,expert_status,expert_DS,extra_collision,stuck,stuck_vs_expert,n_track,e_lat_med,e_lat_p95,e_lon_med,abs_e_lon_med,abs_e_lon_p95,e_head_med,stuck_cause
E-b,1833,Completed,100.0,100,0,30.65,,,,,,,,,,,,,,,,
E-b,1852,Completed,100.0,100,0,39.7,,,,,,,,,,,,,,,,
E-b,1956,Completed,100.0,100,0,21.75,,,,,,,,,,,,,,,,
E-b,2084,Completed,100.0,100,0,16.1,,,,,,,,,,,,,,,,
E-b,2086,Completed,100.0,100,0,15.1,,,,,,,,,,,,,,,,
E-b,2091,Completed,100.0,100,0,13.35,,,,,,,,,,,,,,,,
E-b,2115,Completed,100.0,100,0,13.35,,,,,,,,,,,,,,,,
E-b,2286,Completed,100.0,100,0,9.05,,,,,,,,,,,,,,,,
E-b,2373,Completed,100.0,100,0,57.5,,,,,,,,,,,,,,,,
E-b,2390,Completed,100.0,100,0,6.05,,,,,,,,,,,,,,,,
E-b,24211,Completed,100.0,100,0,16.45,,,,,,,,,,,,,,,,
E-b,24330,Completed,100.0,100,0,24.65,,,,,,,,,,,,,,,,
E-b,26458,Completed,100.0,100,0,12.25,,,,,,,,,,,,,,,,
E-b,2668,Completed,100.0,100,0,26.65,,,,,,,,,,,,,,,,
E-b,3564,Failed - Agent got blocked,15.086208,51.01,2,302.3,,,,,,,,,,,,,,,,
E-b,4183,Completed,100.0,100,0,13.35,,,,,,,,,,,,,,,,
f2t,11381,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,231,0.005,0.781,-2.336,2.336,5.583,0.123,
f2t,1711,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,329,0.001,0.006,-2.635,2.635,5.219,0.016,
f2t,17563,Completed,60.0,100,1,,16.1,vehicle.mercedes.coupe_2020,0.0,Completed,100.0,1,0,0,227,0.003,0.408,-4.439,4.439,8.298,0.134,
f2t,1825,Completed,65.0,100,1,,25.1,static.prop.constructioncone,0.0,Completed,100.0,1,0,0,173,0.002,0.414,-5.23,5.23,9.719,0.046,
f2t,1833,Completed,65.0,100,1,,25.6,static.prop.constructioncone,0.0,Completed,100.0,1,0,0,184,0.002,0.413,-4.548,4.548,10.223,0.035,
f2t,1852,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,313,0.002,0.523,-2.357,2.357,9.827,0.044,
f2t,1956,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,315,0.0,0.537,-1.237,1.237,6.603,0.013,
f2t,2084,Completed,7.615805,100,4,,12.5,vehicle.mini.cooper_s_2021,276.2,Completed,100.0,1,0,0,151,0.003,0.082,-3.234,3.234,7.62,0.045,
