level,route,seed,arm,speed_band,n,long_delta_median,long_delta_p10,long_delta_p90,steer_delta_median,steer_delta_p10,steer_delta_p90,long_abs_gt_0_05,steer_abs_gt_0_05
1,17569,1,D,3-8,212,-1.13655224442482,-2.040724015235901,0.9897982777096331,0.0007368465709603493,-0.05942201929441129,0.24991281317174432,199,88
1,17569,1,D,>=8,102,0.33327725902199745,-0.18646402359008787,1.4130871027708054,9.579300246211154e-05,-0.10398843687276044,0.028287154497636954,94,26
1,17569,2,C,<0.5,24,-1.9127935618162155,-2.2606421172618867,-1.4943798065185547,-0.00047326857747975737,-0.0006196072557941079,0.00026882084591003735,24,2
1,17569,2,C,0.5-3,73,-1.5610455870628357,-2.0548410296440123,1.2503293633460997,0.13518989890813826,-0.10356401977274152,0.46847866706053404,72,54
1,17569,2,C,3-8,237,-0.34395062923431396,-1.9915445923805237,1.3170192420482636,0.00036891605089598063,-0.048474450397253406,0.17997810700370206,223,70
1,17569,2,C,>=8,85,0.37880659103393555,-0.1850835919380188,1.3698441982269287,3.6196854139739626e-05,-0.06327497220458463,0.01582933537360645,81,19
1,17569,2,D,<0.5,22,-1.9550958275794983,-2.2379502922296526,-1.5875203788280488,-0.00045148085337132215,-0.0006132947921287269,0.00014084507165534917,22,0
1,17569,2,D,0.5-3,41,-1.9384350776672363,-2.1273459792137146,-1.6131642162799835,0.10303575692905317,-0.00010529899064244501,0.2070551207827197,41,23
1,17569,2,D,3-8,239,-0.4151268005371094,-2.0087841629981993,1.3872536063194276,0.0005056252263279427,-0.1640201462507248,0.2181612539423837,230,113
1,17569,2,D,>=8,91,0.33350104093551636,-0.18192684650421143,1.3451977670192719,0.00013320525412887548,-0.11358243319516378,0.0056212502560811116,84,20
1,2091,0,C,<0.5,3754,0.0,-2.648101269826293,0.0,0.0,0.0,0.0479141720777585,1748,479
1,2091,0,C,0.5-3,151,-1.7529487609863281,-2.2765287160873413,0.8989293575286865,0.045326274327105946,-0.2533189849058787,0.13555856347084044,135,101
1,2091,0,C,3-8,94,1.106293298304081,-2.0563044488430022,1.478940635919571,6.547812133956334e-07,-0.038675615817308426,0.011764413595199594,94,11
1,2091,0,C,>=8,0,,,,,,,0,0
1,2091,0,D,<0.5,3756,-1.2379650445654988,-2.444568395614624,0.0,0.0,-0.05437438021103541,0.018610450416389437,2279,600
1,2091,0,D,0.5-3,128,-1.9714818000793457,-2.259112575650215,0.5036914527416227,0.04671375965078671,-0.07626067101955412,0.1706340258088377,125,75
1,2091,0,D,3-8,115,0.9722003731876612,-2.0505104780197145,1.478082537651062,0.00011961895042380394,-0.1237731944620609,0.10333111458354544,114,32
1,2091,0,D,>=8,0,,,,,,,0,0
1,2091,1,C,<0.5,3759,0.0,-2.5268126755952833,1.0988709226250648,0.0020530262589454652,-0.16267712116241456,0.4000000059604645,2586,1519
1,2091,1,C,0.5-3,131,-1.9724998474121094,-2.319123797118664,0.4997560977935791,0.06528680853442186,-0.08301199227571487,0.14792950711316533,114,92
1,2091,1,C,3-8,109,1.1329523175954819,-1.988683784008026,1.4712326407432557,-6.261324742808951e-06,-0.129658944328626,0.02381582450370001,108,28
1,2091,1,C,>=8,0,,,,,,,0,0
1,2091,1,D,<0.5,1172,-2.3660210063681006,-3.028822684288025,1.200657984614374,0.019646072862669825,0.0,0.5054440258459917,1046,218
1,2091,1,D,0.5-3,151,-1.9377365708351135,-2.1319606006145477,1.118892326951027,0.11325859420829348,-0.05717591568827629,0.5320247487227122,144,104
1,2091,1,D,3-8,146,0.1503184586763382,-2.0495468080043793,1.4525450319051743,0.00022360593786288513,-0.0606474256515503,0.13990247157402336,146,57
1,2091,1,D,>=8,65,0.158004492521286,-0.3134182870388031,0.39778040573000906,0.0026723815873265257,-0.004820430592504433,0.005144170601360707,62,0
1,2091,2,C,<0.5,392,-2.245829224586487,-2.8815196633338926,0.0,0.0209081010810203,0.0,0.2202762761976988,341,97
1,2091,2,C,0.5-3,116,-1.9454002678394318,-2.3015904128551483,1.2387802451848984,0.04086821841076016,-0.053053705021739006,0.2865063940816456,113,63
1,2091,2,C,3-8,165,-0.010595560073852539,-1.977336299419403,1.4564161002635956,0.0009002165348889927,-0.0038160114549100352,0.26990473625395034,162,62
