scope,judge,n,delta,lo,hi,model,gate,source
Cyclists,ADE dec1-9,2326,0.0969402864575386,0.0601505088199556,0.1328936444741579,lebowski,c2,mc
Cyclists,ADE pre_onset dec1-9,206,-0.0048792688176035,-0.1058409204440901,0.1119245952817689,lebowski,c2,mc
Cut_ins,RFS (rater),20,-0.4159289350931766,-0.7293105429551474,-0.1565782940550664,lebowski,c2,mc
Cut_ins,ADE dec1-9,724,0.0978619679808616,0.0458596688352032,0.1545330320044456,lebowski,c2,mc
Cut_ins,ADE pre_onset dec1-9,16,-0.1114936247467994,-0.2067444324493408,0.0109717079571315,lebowski,c2,mc
FOD,RFS (rater),78,-0.0632599835172142,-0.3038494095414416,0.1677466756016059,lebowski,c2,mc
FOD,ADE dec1-9,3175,0.136477380990982,0.0982400332409011,0.1755597444924043,lebowski,c2,mc
FOD,ADE pre_onset dec1-9,252,0.1208594962954521,0.0350083969053562,0.1988919368999878,lebowski,c2,mc
Intersections,RFS (rater),116,0.0058335254019801,-0.1570648380759779,0.1609955887141134,lebowski,c2,mc
Intersections,ADE dec1-9,4299,0.0981513634324073,0.0726733893064376,0.1241002026834772,lebowski,c2,mc
Intersections,ADE pre_onset dec1-9,301,-0.0349752083420753,-0.12201730616775,0.0522126582172262,lebowski,c2,mc
all,RFS (rater),478,-0.1113052100197062,-0.1972655738681169,-0.0315441217840935,cinque,none,stAs0
all,ADE dec1-9,17389,0.3027321100234985,0.2693908949562852,0.3369157590788875,cinque,none,stAs0
all,ADE pre_onset dec1-9,1245,0.2569836974143982,0.1512892403865845,0.3830587741716483,cinque,none,stAs0
Pedestrians,RFS (rater),52,-0.166711876550436,-0.5072758172501769,0.1235616191432222,cinque,none,stAs0
Pedestrians,ADE dec1-9,1637,0.2604106962680816,0.1636477719434304,0.3738789873653208,cinque,none,stAs0
Pedestrians,ADE pre_onset dec1-9,83,0.2941478192806244,0.01632578720302,0.8002638284845289,cinque,none,stAs0
Cyclists,RFS (rater),71,-0.0709931589964672,-0.2264131851471892,0.0460321095478796,cinque,none,stAs0
Cyclists,ADE dec1-9,2326,0.2115008234977722,0.1517086835110624,0.278481503171968,cinque,none,stAs0
Cyclists,ADE pre_onset dec1-9,206,0.1327866017818451,-0.0664623850348271,0.4442030110501139,cinque,none,stAs0
Cut_ins,RFS (rater),20,-0.2475714504591149,-0.9317855327665432,0.3064201342106721,cinque,none,stAs0
Cut_ins,ADE dec1-9,724,0.1939625591039657,0.1057962735239769,0.3149701905794293,cinque,none,stAs0
Cut_ins,ADE pre_onset dec1-9,16,0.2541382014751434,-0.085556822163718,0.6193442484911751,cinque,none,stAs0
FOD,RFS (rater),78,-0.1667729904758488,-0.3910639174259055,-0.0020233977917083,cinque,none,stAs0
FOD,ADE dec1-9,3175,0.3491327464580536,0.2793979036189027,0.4264970028293249,cinque,none,stAs0
FOD,ADE pre_onset dec1-9,252,0.4990593194961548,0.1804930738712147,0.9176231681579624,cinque,none,stAs0
Intersections,RFS (rater),116,-0.1143561615584538,-0.3164299121012862,0.0635030959500147,cinque,none,stAs0
Intersections,ADE dec1-9,4299,0.4056320786476135,0.3260337108569247,0.4933745344996523,cinque,none,stAs0
Intersections,ADE pre_onset dec1-9,301,0.0528464019298553,-0.0311182520188404,0.1687901943460706,cinque,none,stAs0
all,RFS (rater),478,-0.055411357107114,-0.125280553877599,0.0090058961307363,cinque,g1,stAs0
all,ADE dec1-9,17389,0.1948964893817901,0.1695573807636697,0.2214039185142492,cinque,g1,stAs0
all,ADE pre_onset dec1-9,1245,0.2258602976799011,0.1279653450436228,0.3449483840778291,cinque,g1,stAs0
Pedestrians,RFS (rater),52,-0.0806235963223333,-0.3460563962755704,0.1410499488030776,cinque,g1,stAs0
Pedestrians,ADE dec1-9,1637,0.1756941378116607,0.1043941192903602,0.2581468943797663,cinque,g1,stAs0
Pedestrians,ADE pre_onset dec1-9,83,0.279272586107254,0.0055943604419875,0.7741616919901918,cinque,g1,stAs0
Cyclists,RFS (rater),71,-0.0404040955795641,-0.1653327841336261,0.0594130378672428,cinque,g1,stAs0
Cyclists,ADE dec1-9,2326,0.1249039471149444,0.0827549794551657,0.1763041773363061,cinque,g1,stAs0
Cyclists,ADE pre_onset dec1-9,206,0.0784905329346656,-0.076621318851305,0.2872187575193624,cinque,g1,stAs0
Cut_ins,RFS (rater),20,0.0115757102917444,-0.3122564872715507,0.3897039920543407,cinque,g1,stAs0
Cut_ins,ADE dec1-9,724,0.1356264352798462,0.0663672571191452,0.2353049056492208,cinque,g1,stAs0
Cut_ins,ADE pre_onset dec1-9,16,0.235190600156784,-0.080575236252376,0.5932647130068611,cinque,g1,stAs0
FOD,RFS (rater),78,-0.0995697789039206,-0.2906451821651721,0.0214543180696904,cinque,g1,stAs0
FOD,ADE dec1-9,3175,0.2159269899129867,0.163067527633083,0.2776641143492767,cinque,g1,stAs0
FOD,ADE pre_onset dec1-9,252,0.4704455137252807,0.1635633770133953,0.8854076869114141,cinque,g1,stAs0
Intersections,RFS (rater),116,-0.0889143752811515,-0.2780882543404373,0.0762733515878466,cinque,g1,stAs0
Intersections,ADE dec1-9,4299,0.2722037434577942,0.2075801056076376,0.3478236863940056,cinque,g1,stAs0
Intersections,ADE pre_onset dec1-9,301,0.0576364248991012,-0.0223557251586163,0.1699691364157716,cinque,g1,stAs0
all,RFS (rater),478,0.0033305231866523,-0.0018421462742567,0.0105114815457631,cinque,g3,stAs0
