examinee,vs,scope,n,delta,lo,hi
M-C pair [lebowski] x g2,ridge_late op-lebowski temporal,cutin,216,-0.0138888888888888,-0.0339805825242718,0.0047624743677375
M-C pair [lebowski] x g2,ridge_late op-lebowski temporal,oncoming,657,0.0136986301369863,0.0031246354976671,0.0237750300714639
M-C pair [lebowski] x g2,ridge_late op-lebowski temporal,static,959,0.0010427528675703,-0.0052692614336449,0.0074319892052831
M-C pair [lebowski] x c2,ridge_late op-lebowski temporal,pooled,1832,0.0185589519650655,0.0112862048135313,0.0262145609452308
M-C pair [lebowski] x c2,ridge_late op-lebowski temporal,cutin,216,0.0092592592592592,-0.020002512562814,0.0446478619474695
M-C pair [lebowski] x c2,ridge_late op-lebowski temporal,oncoming,657,0.0334855403348554,0.0204939659103146,0.0470957613814756
M-C pair [lebowski] x c2,ridge_late op-lebowski temporal,static,959,0.0104275286757038,0.0020898096216647,0.0197921826120959
student A s0 [lebowski] x g1,ridge_late op-lebowski temporal,pooled,1832,-0.023471615720524,-0.0351250957342959,-0.0120256615607342
student A s0 [lebowski] x g1,ridge_late op-lebowski temporal,cutin,216,-0.0046296296296296,-0.0265486725663716,0.0213738738738738
student A s0 [lebowski] x g1,ridge_late op-lebowski temporal,oncoming,657,-0.0334855403348554,-0.056152691691125,-0.0139740736111378
student A s0 [lebowski] x g1,ridge_late op-lebowski temporal,static,959,-0.0208550573514077,-0.0330166557524523,-0.0093167701863354
student A s0 [lebowski] x g3,ridge_late op-lebowski temporal,pooled,1832,-0.0010917030567685,-0.0063435917400173,0.0033994816056734
student A s0 [lebowski] x g3,ridge_late op-lebowski temporal,cutin,216,0.0,0.0,0.0
student A s0 [lebowski] x g3,ridge_late op-lebowski temporal,oncoming,657,0.0015220700152207,-0.0046583850931677,0.0077288752675991
student A s0 [lebowski] x g3,ridge_late op-lebowski temporal,static,959,-0.0031282586027111,-0.0105155238253362,0.0031153457555326
student A s0 [lebowski] x g2,ridge_late op-lebowski temporal,pooled,1832,-0.0027292576419213,-0.0077220077220077,0.0017097453570744
student A s0 [lebowski] x g2,ridge_late op-lebowski temporal,cutin,216,-0.0046296296296296,-0.0149272388059701,0.0
student A s0 [lebowski] x g2,ridge_late op-lebowski temporal,oncoming,657,-0.0030441400304414,-0.0153380123076343,0.0089689455170376
student A s0 [lebowski] x g2,ridge_late op-lebowski temporal,static,959,-0.0020855057351407,-0.0083078050187855,0.0031120331950207
student A s0 [lebowski] x c2,ridge_late op-lebowski temporal,pooled,1832,-0.0032751091703056,-0.0083429695737529,0.001685511948093
student A s0 [lebowski] x c2,ridge_late op-lebowski temporal,cutin,216,-0.0046296296296296,-0.0149272388059701,0.0
student A s0 [lebowski] x c2,ridge_late op-lebowski temporal,oncoming,657,-0.0060882800608828,-0.0169498064448629,0.0044843049327354
student A s0 [lebowski] x c2,ridge_late op-lebowski temporal,static,959,-0.0010427528675703,-0.0075204513492278,0.0052412276359988
student A s1 [lebowski] x g1,ridge_late op-lebowski temporal,pooled,1832,-0.0201965065502183,-0.0327780054644808,-0.0077904377666481
student A s1 [lebowski] x g1,ridge_late op-lebowski temporal,cutin,216,-0.0092592592592592,-0.0277777777777777,0.008850540806293
student A s1 [lebowski] x g1,ridge_late op-lebowski temporal,oncoming,657,-0.0258751902587519,-0.0504590773594188,-0.0029939000921922
student A s1 [lebowski] x g1,ridge_late op-lebowski temporal,static,959,-0.0187695516162669,-0.0311558964263787,-0.0071281282826378
student A s1 [lebowski] x g3,ridge_late op-lebowski temporal,pooled,1832,-0.0010917030567685,-0.0066669449081803,0.003512936287331
student A s1 [lebowski] x g3,ridge_late op-lebowski temporal,cutin,216,0.0,0.0,0.0
student A s1 [lebowski] x g3,ridge_late op-lebowski temporal,oncoming,657,0.0015220700152207,-0.0046583850931677,0.0077288752675991
student A s1 [lebowski] x g3,ridge_late op-lebowski temporal,static,959,-0.0031282586027111,-0.0114825546516929,0.0031747714992677
