scope,tap,vs,n_frames,routes,auc,auc_lo,auc_hi,auc_vs,delta,lo,hi
PedestrianCrossing,op-cinque vision,op-cinque temporal,836,7,0.5468281403814016,0.5218340558786877,0.6043497196534214,0.5391217005105194,0.0077064398708821535,-0.01340657473139724,0.025585124021782528
PedestrianCrossing,op-cinque vision,L18_last,836,7,0.5468281403814016,0.5218340558786877,0.6043497196534214,0.7852985279641035,-0.2384703875827019,-0.29279268738860065,-0.19318649036056645
PedestrianCrossing,op-cinque hidden,op-cinque temporal,836,7,0.5267622078249123,0.510384345100362,0.557058392135852,0.5391217005105194,-0.012359492685607099,-0.07109698283374931,0.00045213223630121585
PedestrianCrossing,op-cinque hidden,L18_last,836,7,0.5267622078249123,0.510384345100362,0.557058392135852,0.7852985279641035,-0.25853632013919114,-0.3169821206043848,-0.23149309775292415
PedestrianCrossing,op-lebowski vision,op-lebowski temporal,836,7,0.5682318971635264,0.5460086173332426,0.6068610689180621,0.5422337515166777,0.025998145646848658,-0.019116085219820646,0.05853357977937661
PedestrianCrossing,op-lebowski vision,L18_last,836,7,0.5682318971635264,0.5460086173332426,0.6068610689180621,0.7852985279641035,-0.2170666308005771,-0.26533278994999565,-0.1872204638869097
PedestrianCrossing,op-lebowski hidden,op-lebowski temporal,836,7,0.5551126347840022,0.5312161947873029,0.6144773638085173,0.5422337515166777,0.012878883267324448,-0.009162831037814735,0.05032354583031294
PedestrianCrossing,op-lebowski hidden,L18_last,836,7,0.5551126347840022,0.5312161947873029,0.6144773638085173,0.7852985279641035,-0.2301858931801013,-0.28897373530266535,-0.17161988467038902
PedestrianCrossing,op-cinque temporal,L18_last,836,7,0.5391217005105194,0.5213408734408796,0.6133200965809386,0.7852985279641035,-0.24617682745358405,-0.28490846518868407,-0.1943540402106665
PedestrianCrossing,op-lebowski temporal,L18_last,836,7,0.5422337515166777,0.5227679214969453,0.5977900588208804,0.7852985279641035,-0.24306477644742575,-0.31097951807895396,-0.18907066093613295
StaticCutIn,op-cinque vision,op-cinque temporal,1031,10,0.5830110417973943,0.5599894464496639,0.6085689395683197,0.5858211166731422,-0.0028100748757479144,-0.020310213613595852,0.01863245799318438
StaticCutIn,op-cinque vision,L18_last,1031,10,0.5830110417973943,0.5599894464496639,0.6085689395683197,0.5231866456060006,0.05982439619139368,0.044472949009338535,0.07546811390624993
StaticCutIn,op-cinque hidden,op-cinque temporal,1031,10,0.5999589825026507,0.5741326146890957,0.6254086225674911,0.5858211166731422,0.01413786582950849,-0.0051358007739877864,0.03354603300697735
StaticCutIn,op-cinque hidden,L18_last,1031,10,0.5999589825026507,0.5741326146890957,0.6254086225674911,0.5231866456060006,0.07677233689665008,0.06424927996079323,0.09183887892127345
StaticCutIn,op-lebowski vision,op-lebowski temporal,1031,10,0.5733681668471373,0.5533821472048067,0.5974967406566467,0.5854147047727998,-0.01204653792566246,-0.02843449916336672,0.00433575491728604
StaticCutIn,op-lebowski vision,L18_last,1031,10,0.5733681668471373,0.5533821472048067,0.5974967406566467,0.5231866456060006,0.05018152124113673,0.030136947698187613,0.07118265522542457
StaticCutIn,op-lebowski hidden,op-lebowski temporal,1031,10,0.5818811790837105,0.5539596441069985,0.6100902341802072,0.5854147047727998,-0.0035335256890892675,-0.017300965170006153,0.010056829264999352
StaticCutIn,op-lebowski hidden,L18_last,1031,10,0.5818811790837105,0.5539596441069985,0.6100902341802072,0.5231866456060006,0.05869453347770992,0.036659326602949786,0.07981365568796148
StaticCutIn,op-cinque temporal,L18_last,1031,10,0.5858211166731422,0.5687836535689232,0.599589525309384,0.5231866456060006,0.0626344710671416,0.046083648978146305,0.0780148005343763
StaticCutIn,op-lebowski temporal,L18_last,1031,10,0.5854147047727998,0.5622610191676084,0.6045439462411173,0.5231866456060006,0.06222805916679919,0.04174145032626193,0.079217182060987
VehicleTurningRoutePedestrian,op-cinque vision,op-cinque temporal,2659,14,0.5018519065932457,0.48924956432783123,0.5153409732507805,0.5025107205781496,-0.000658813984903861,-0.01174920256516887,0.008109971386693317
VehicleTurningRoutePedestrian,op-cinque vision,L18_last,2659,14,0.5018519065932457,0.48924956432783123,0.5153409732507805,0.5105720692006442,-0.008720162607398496,-0.03435719839841891,0.015644591120887168
VehicleTurningRoutePedestrian,op-cinque hidden,op-cinque temporal,2659,14,0.5080672889804522,0.4959969356252633,0.5219350746534535,0.5025107205781496,0.005556568402302564,-0.009199519901498603,0.021122099143155756
VehicleTurningRoutePedestrian,op-cinque hidden,L18_last,2659,14,0.5080672889804522,0.4959969356252633,0.5219350746534535,0.5105720692006442,-0.002504780220192071,-0.022836453657245268,0.012002860034324282
VehicleTurningRoutePedestrian,op-lebowski vision,op-lebowski temporal,2659,14,0.4955281126733153,0.48503849067116456,0.503203595993812,0.5000200840673801,-0.004491971394064764,-0.015047661745702939,0.00333751300358002
VehicleTurningRoutePedestrian,op-lebowski vision,L18_last,2659,14,0.4955281126733153,0.48503849067116456,0.503203595993812,0.5105720692006442,-0.015043956527328928,-0.03307733709706251,-0.004222404206673873
VehicleTurningRoutePedestrian,op-lebowski hidden,op-lebowski temporal,2659,14,0.4997903195078102,0.4915855514326565,0.5046377228897937,0.5000200840673801,-0.00022976455956985609,-0.006975298353923069,0.00461069749017132
VehicleTurningRoutePedestrian,op-lebowski hidden,L18_last,2659,14,0.4997903195078102,0.4915855514326565,0.5046377228897937,0.5105720692006442,-0.01078174969283402,-0.025461299997327554,-0.0008361720095239522
VehicleTurningRoutePedestrian,op-cinque temporal,L18_last,2659,14,0.5025107205781496,0.4989842557807743,0.5081374784825927,0.5105720692006442,-0.008061348622494635,-0.026476457467465256,0.00959265254026608
VehicleTurningRoutePedestrian,op-lebowski temporal,L18_last,2659,14,0.5000200840673801,0.49764701243992215,0.5028927232862991,0.5105720692006442,-0.010551985133264163,-0.02433134306388452,0.0005232583613716823
