scope,judge,n,delta,lo,hi,model,arm,seed,stats
all,ADE pre_onset dec1-9,1245,0.26248031854629517,0.1623309456711879,0.3791206506546302,cinque,B,2,carla
Pedestrians,RFS (rater),52,-0.013314474254422089,-0.2776387475990957,0.26051334903315576,cinque,B,2,carla
Pedestrians,ADE dec1-9,1637,0.16251938045024872,0.09919899172127826,0.23618806740778606,cinque,B,2,carla
Pedestrians,ADE pre_onset dec1-9,83,0.23947076499462128,-0.024127106748333346,0.696172539643677,cinque,B,2,carla
Cyclists,RFS (rater),71,-0.01778982649834418,-0.2425632237233338,0.15929744247240482,cinque,B,2,carla
Cyclists,ADE dec1-9,2326,0.15383796393871307,0.11443835539161679,0.194574971904601,cinque,B,2,carla
Cyclists,ADE pre_onset dec1-9,206,0.16843350231647491,0.023437725669673844,0.34644394142742485,cinque,B,2,carla
Cut_ins,RFS (rater),20,0.004490803201629978,-0.2947451975535731,0.379048180586722,cinque,B,2,carla
Cut_ins,ADE dec1-9,724,0.15243634581565857,0.09769401727440499,0.2182882252859439,cinque,B,2,carla
Cut_ins,ADE pre_onset dec1-9,16,0.1383146047592163,-0.10061843054635185,0.3871994081296419,cinque,B,2,carla
FOD,RFS (rater),78,-0.09067487556206097,-0.2070796237479637,0.01205143904188899,cinque,B,2,carla
FOD,ADE dec1-9,3175,0.21490566432476044,0.17047787472548356,0.266269648611158,cinque,B,2,carla
FOD,ADE pre_onset dec1-9,252,0.5471506118774414,0.19188462853249663,0.9465415483761455,cinque,B,2,carla
Intersections,RFS (rater),116,-0.09193948981351016,-0.27067496162505594,0.08193911986365031,cinque,B,2,carla
Intersections,ADE dec1-9,4299,0.26709842681884766,0.20667597384461656,0.3381009937067777,cinque,B,2,carla
Intersections,ADE pre_onset dec1-9,301,0.09941184520721436,0.0008763034615291506,0.21346723720065564,cinque,B,2,carla
all,RFS (rater),478,-0.03810638678685069,-0.11928744859167026,0.0441622121260267,cinque,B,2,wod-train
all,ADE dec1-9,17389,0.19911853969097137,0.17719153522671782,0.22166938113035162,cinque,B,2,wod-train
all,ADE pre_onset dec1-9,1245,0.261145681142807,0.1726590471364024,0.3602051358926702,cinque,B,2,wod-train
Pedestrians,RFS (rater),52,0.15139644502485103,-0.13452870299516775,0.4558669991744949,cinque,B,2,wod-train
Pedestrians,ADE dec1-9,1637,0.16562291979789734,0.09752566716457224,0.24647599377780902,cinque,B,2,wod-train
Pedestrians,ADE pre_onset dec1-9,83,0.42188194394111633,0.09292676972628339,1.0585075819362995,cinque,B,2,wod-train
Cyclists,RFS (rater),71,-0.025920682647260423,-0.29962448612836196,0.22248799543889816,cinque,B,2,wod-train
Cyclists,ADE dec1-9,2326,0.2241286039352417,0.1624858661049604,0.2948452047929298,cinque,B,2,wod-train
Cyclists,ADE pre_onset dec1-9,206,0.21170155704021454,0.08258159441324821,0.3800249894953749,cinque,B,2,wod-train
Cut_ins,RFS (rater),20,0.06920436558616805,-0.3430282103641771,0.4842535515386344,cinque,B,2,wod-train
Cut_ins,ADE dec1-9,724,0.19233544170856476,0.13042039061870012,0.2618610967357908,cinque,B,2,wod-train
Cut_ins,ADE pre_onset dec1-9,16,0.20545583963394165,-0.165095397404262,0.5022913708406336,cinque,B,2,wod-train
FOD,RFS (rater),78,-0.10957918187843213,-0.2627921935012129,0.01590358389979197,cinque,B,2,wod-train
FOD,ADE dec1-9,3175,0.20040656626224518,0.16242765155141842,0.2417017395427064,cinque,B,2,wod-train
FOD,ADE pre_onset dec1-9,252,0.39883023500442505,0.1423251239534919,0.6821966705592337,cinque,B,2,wod-train
Intersections,RFS (rater),116,-0.05704688664226013,-0.1961782169890189,0.0872016022379278,cinque,B,2,wod-train
Intersections,ADE dec1-9,4299,0.24050359427928925,0.18912464660282552,0.29877068210961094,cinque,B,2,wod-train
Intersections,ADE pre_onset dec1-9,301,0.08872018754482269,-0.018493597469709157,0.2296271318398598,cinque,B,2,wod-train
all,RFS (rater),478,-0.05305869385660694,-0.11519534743302516,0.007368771260027014,lebowski,A,0,carla
all,ADE dec1-9,17389,0.22044716775417328,0.19519106442693862,0.24670984189568457,lebowski,A,0,carla
all,ADE pre_onset dec1-9,1245,0.10047220438718796,0.030535584030439173,0.17762256619295058,lebowski,A,0,carla
Pedestrians,RFS (rater),52,0.09889418601703498,-0.05310560660255683,0.32285911907718495,lebowski,A,0,carla
Pedestrians,ADE dec1-9,1637,0.15997235476970673,0.11010999210978958,0.21080959076696545,lebowski,A,0,carla
Pedestrians,ADE pre_onset dec1-9,83,-0.013919128105044365,-0.2737411659761362,0.22475278883824767,lebowski,A,0,carla
Cyclists,RFS (rater),71,0.011655907936547647,-0.06351052223353744,0.08827132256803251,lebowski,A,0,carla
Cyclists,ADE dec1-9,2326,0.19680236279964447,0.13278411813985308,0.2749653000445847,lebowski,A,0,carla
