examinee,scope,tau_model,n_reactive,routes_reactive,pairs_reactive,flip_rate,flip_lo,flip_hi,any_direction_rate,wrong_direction_rate,n_nonreactive,false_flip_nonreactive,false_flip_null_insample,false_flip_null_oos,n_null,flip_rate_family_equal
G2 M-C hard s1 [cinque],pooled,2.533728551864623,1832,65,65,0.6233624454148472,0.5791839043309632,0.6656143409452232,0.6517467248908297,0.028384279475982533,1727,0.06948465547191662,0.050505050505050504,0.07449494949494949,792.0,0.6356378691936803
G2 M-C hard s1 [cinque],cutin,2.533728551864623,216,27,27,0.6990740740740741,0.611588457498384,0.7831938235562448,0.7546296296296297,0.05555555555555555,398,0.17336683417085427,,,,
G2 M-C hard s1 [cinque],oncoming,2.533728551864623,657,60,60,0.5540334855403348,0.5036788130374185,0.6027820710973725,0.5753424657534246,0.0213089802130898,558,0.008960573476702509,,,,
G2 M-C hard s1 [cinque],static,2.533728551864623,959,65,65,0.6538060479666319,0.6029243124785425,0.7006137828697778,0.6809176225234619,0.027111574556830033,771,0.05966277561608301,,,,
G2 M-C uniform s1 [cinque],pooled,1.8046872138977037,1832,65,65,0.6670305676855895,0.6249161477327384,0.7080324958266134,0.699235807860262,0.03220524017467249,1727,0.07122177185871453,0.050505050505050504,0.06944444444444445,792.0,0.6754887562390146
G2 M-C uniform s1 [cinque],cutin,1.8046872138977037,216,27,27,0.7314814814814815,0.6509319472430848,0.8071762385866336,0.7916666666666666,0.06018518518518518,398,0.1658291457286432,,,,
G2 M-C uniform s1 [cinque],oncoming,1.8046872138977037,657,60,60,0.589041095890411,0.5350942393251286,0.6421000404734686,0.6118721461187214,0.0228310502283105,558,0.007168458781362007,,,,
G2 M-C uniform s1 [cinque],static,1.8046872138977037,959,65,65,0.7059436913451512,0.656934306569343,0.7510741848768644,0.7382690302398331,0.03232533889468196,771,0.06874189364461739,,,,
G2 student A s1 [cinque],pooled,1.0257590532302852,1832,65,65,0.6774017467248908,0.6277596097330432,0.7257519087875534,0.7805676855895196,0.10316593886462883,1727,0.12970469021424436,0.050505050505050504,0.05555555555555555,792.0,0.6633649465741257
G2 student A s1 [cinque],cutin,1.0257590532302852,216,27,27,0.6527777777777778,0.5581307701297183,0.7433717258860675,0.8240740740740741,0.1712962962962963,398,0.17587939698492464,,,,
G2 student A s1 [cinque],oncoming,1.0257590532302852,657,60,60,0.604261796042618,0.5439616179046722,0.6647203886632199,0.6894977168949772,0.0852359208523592,558,0.04121863799283154,,,,
G2 student A s1 [cinque],static,1.0257590532302852,959,65,65,0.7330552659019812,0.6768943398145855,0.7847479357998917,0.8331595411887383,0.10010427528675704,771,0.16990920881971466,,,,
G2 student B s1 [cinque],pooled,1.1683087050914762,1832,65,65,0.6517467248908297,0.6036571632608217,0.6997481680741443,0.7516375545851528,0.09989082969432314,1727,0.11407064273306311,0.050505050505050504,0.05176767676767677,792.0,0.6400917227501236
G2 student B s1 [cinque],cutin,1.1683087050914762,216,27,27,0.6296296296296297,0.5286260493724545,0.726457399103139,0.8240740740740741,0.19444444444444445,398,0.16080402010050251,,,,
G2 student B s1 [cinque],oncoming,1.1683087050914762,657,60,60,0.5951293759512938,0.5357128707267376,0.6533769026170692,0.6757990867579908,0.0806697108066971,558,0.035842293906810034,,,,
G2 student B s1 [cinque],static,1.1683087050914762,959,65,65,0.6955161626694474,0.6423149883451962,0.7473575720485145,0.7872784150156413,0.09176225234619395,771,0.14656290531776914,,,,
G2 M-C pair s1 x g2 [cinque],pooled,0.7136610388755797,1832,65,65,0.7188864628820961,0.674360169276451,0.7632015564704121,0.8133187772925764,0.09443231441048035,1727,0.15228720324261724,0.050505050505050504,0.04797979797979798,792.0,0.7077264054899626
G2 M-C pair s1 x g2 [cinque],cutin,0.7136610388755797,216,27,27,0.7037037037037037,0.6167325448071933,0.7836538461538461,0.8657407407407407,0.16203703703703703,398,0.20100502512562815,,,,
G2 M-C pair s1 x g2 [cinque],oncoming,0.7136610388755797,657,60,60,0.649923896499239,0.5972986804169439,0.703874749349664,0.7290715372907154,0.0791476407914764,558,0.06630824372759857,,,,
G2 M-C pair s1 x g2 [cinque],static,0.7136610388755797,959,65,65,0.7695516162669447,0.7159206200927064,0.820619970420636,0.8592283628779979,0.08967674661105318,771,0.1893644617380026,,,,
G2 student A s1 x g2 [cinque],pooled,0.6536538600921629,1832,65,65,0.7188864628820961,0.672451477920228,0.7631458572214502,0.8116812227074236,0.0927947598253275,1727,0.17139548349739434,0.050505050505050504,0.05050505050505051,792.0,0.6963266856735842
G2 student A s1 x g2 [cinque],cutin,0.6536538600921629,216,27,27,0.6620370370370371,0.57,0.748944805194805,0.8194444444444444,0.1574074074074074,398,0.1884422110552764,,,,
G2 student A s1 x g2 [cinque],oncoming,0.6536538600921629,657,60,60,0.6438356164383562,0.5875912645562271,0.6996895677424947,0.7184170471841704,0.0745814307458143,558,0.05017921146953405,,,,
