scope,n,activation,lo,hi,delta_mag_median_m,model,head,seed,stats,gate,tau
pre_onset,1458,0.7071330589849109,0.6570809890868259,0.7560535542966786,6.390505790710449,cinque,M-C hard,0,wod-train,none,2.09327903985977
all,19663,0.6584447947922494,0.6439844738606743,0.6731284464896645,5.874916076660156,cinque,M-C hard,0,wod-train,none,2.09327903985977
Pedestrians,1831,0.6198798470780994,0.572444968761407,0.6674083559311266,5.477682113647461,cinque,M-C hard,0,wod-train,none,2.09327903985977
Cyclists,2830,0.5823321554770318,0.5451384093001841,0.6196364391927296,5.05264949798584,cinque,M-C hard,0,wod-train,none,2.09327903985977
Cut_ins,885,0.6610169491525424,0.595451656394453,0.7240278616732104,5.676801681518555,cinque,M-C hard,0,wod-train,none,2.09327903985977
FOD,3561,0.7045773659084527,0.66980047734433,0.7371472682936077,6.3476691246032715,cinque,M-C hard,0,wod-train,none,2.09327903985977
Intersections,4772,0.6781223805532272,0.6513339497940439,0.7039622089273586,5.995326519012451,cinque,M-C hard,0,wod-train,none,2.09327903985977
straight_yaw,11597,0.6799172199706821,0.6627306109528651,0.6969141139479456,3.8109772205352783,cinque,M-C uniform,0,wod-train,none,1.5291729211807246
pre_onset,1458,0.7496570644718793,0.7005380052177687,0.7955847050754459,4.596429347991943,cinque,M-C uniform,0,wod-train,none,1.5291729211807246
all,19663,0.7019783349438031,0.6879590896472147,0.7159320899069861,4.20157527923584,cinque,M-C uniform,0,wod-train,none,1.5291729211807246
Pedestrians,1831,0.6406335335882032,0.5944878627050072,0.6857915512465373,3.9280529022216797,cinque,M-C uniform,0,wod-train,none,1.5291729211807246
Cyclists,2830,0.6208480565371025,0.5862556348480197,0.6559260208231658,3.6014533042907715,cinque,M-C uniform,0,wod-train,none,1.5291729211807246
Cut_ins,885,0.6802259887005649,0.636790610259434,0.7211121794871795,3.7594799995422363,cinque,M-C uniform,0,wod-train,none,1.5291729211807246
FOD,3561,0.7511934849761303,0.7187586731426131,0.7827396005526241,4.653919696807861,cinque,M-C uniform,0,wod-train,none,1.5291729211807246
Intersections,4772,0.7294635373009221,0.7042032818298908,0.7534874763754004,4.31690788269043,cinque,M-C uniform,0,wod-train,none,1.5291729211807246
straight_yaw,11597,0.04932310080193154,0.03917067024814521,0.06052711458311538,0.34181731939315796,cinque,student A,0,wod-train,none,1.43935517668724
pre_onset,1458,0.02606310013717421,0.011756569847856155,0.04366197183098591,0.28105223178863525,cinque,student A,0,wod-train,none,1.43935517668724
all,19663,0.04922951736764482,0.04148519770301975,0.057412452484392064,0.3596112132072449,cinque,student A,0,wod-train,none,1.43935517668724
Pedestrians,1831,0.060076460950300385,0.038294856244752706,0.08500277141104413,0.36283570528030396,cinque,student A,0,wod-train,none,1.43935517668724
Cyclists,2830,0.04946996466431095,0.03409057525905352,0.06842363389822549,0.3841933310031891,cinque,student A,0,wod-train,none,1.43935517668724
Cut_ins,885,0.08361581920903954,0.0390186555658341,0.14642451759364358,0.382953405380249,cinque,student A,0,wod-train,none,1.43935517668724
FOD,3561,0.04577365908452682,0.028861866765740582,0.06490290753715416,0.3577001690864563,cinque,student A,0,wod-train,none,1.43935517668724
Intersections,4772,0.04170159262363789,0.028985431700329984,0.056141650856930354,0.34062933921813965,cinque,student A,0,wod-train,none,1.43935517668724
straight_yaw,11597,0.06803483659567129,0.05619115968071284,0.08091297079509686,0.24815872311592102,cinque,student B,0,wod-train,none,1.302914285659789
