scope,judge,n,delta,lo,hi,model,arm
all,ADE dec1-9,17389,0.8330655449706356,0.7947199820884738,0.8714136216292797,lebowski,E2 pair op (a)
all,ADE pre_onset dec1-9,1245,1.0175959973649222,0.8177407138603686,1.2170395087339112,lebowski,E2 pair op (a)
Pedestrians,RFS (rater),52,-0.6861878263537577,-1.2591781048311503,-0.16589787568928244,lebowski,E2 pair op (a)
Pedestrians,ADE dec1-9,1637,0.7731656812299142,0.6639529431505821,0.8768427763115919,lebowski,E2 pair op (a)
Pedestrians,ADE pre_onset dec1-9,83,1.0030225273503297,0.1965562707372302,1.863803438337734,lebowski,E2 pair op (a)
Cyclists,RFS (rater),71,-0.8253220383541867,-1.3691159740750627,-0.27144494464628593,lebowski,E2 pair op (a)
Cyclists,ADE dec1-9,2326,0.7945871022135674,0.6987317852119093,0.8928912114500237,lebowski,E2 pair op (a)
Cyclists,ADE pre_onset dec1-9,206,0.9727838721060373,0.5321267668710397,1.4872644488687423,lebowski,E2 pair op (a)
Cut_ins,RFS (rater),20,-0.33263672648145814,-1.1836122061269605,0.550037499399406,lebowski,E2 pair op (a)
Cut_ins,ADE dec1-9,724,0.9175077973704537,0.7151695000890302,1.1248198452391758,lebowski,E2 pair op (a)
Cut_ins,ADE pre_onset dec1-9,16,0.6652539334415681,0.1402274642705155,1.2014473125036254,lebowski,E2 pair op (a)
FOD,RFS (rater),78,-1.1924681812475653,-1.661202000635649,-0.7439382654322617,lebowski,E2 pair op (a)
FOD,ADE dec1-9,3175,0.8489369228735468,0.7705457206095665,0.9325809674370188,lebowski,E2 pair op (a)
FOD,ADE pre_onset dec1-9,252,0.9702184512590162,0.5732598665276236,1.3888140124086714,lebowski,E2 pair op (a)
Intersections,RFS (rater),116,-0.9894317246455383,-1.3602473096815222,-0.605541202891647,lebowski,E2 pair op (a)
Intersections,ADE dec1-9,4299,0.7686029216117239,0.6926069804278788,0.8462507100407951,lebowski,E2 pair op (a)
Intersections,ADE pre_onset dec1-9,301,0.975915826321838,0.564213936809126,1.4404809477338456,lebowski,E2 pair op (a)
